timestamp,player_index,packets_received,packets_sent,x,y,is_it
5505,0,1,1,200,200,0
5567,0,4,4,200,200,0
5629,0,8,8,200,200,0
5691,0,12,12,200,200,0
5754,0,15,15,200,200,0
5816,0,19,19,200,200,0
5870,0,22,22,200,200,0
5932,0,26,26,200,200,0
5995,0,30,30,200,200,0
6058,0,33,33,200,200,0
6121,0,37,37,200,200,0
6182,0,40,40,200,200,0
6245,0,43,43,200,200,0
6307,0,46,46,200,200,0
6370,0,50,50,200,200,0
6433,0,52,52,200,200,0
6493,0,55,55,200,200,0
6555,0,59,59,200,200,0
6618,0,62,62,200,200,0
6679,0,66,66,200,200,0
6741,0,70,70,200,200,0
6803,0,74,74,200,200,0
6866,0,76,76,200,200,0
6928,0,79,79,200,200,0
6991,0,82,82,200,200,0
7053,0,86,86,200,200,0
7115,0,90,90,200,200,0
7177,0,94,94,200,200,0
7240,0,97,97,200,200,0
7302,0,100,100,200,200,0
7367,0,104,104,200,200,0
7427,0,107,107,200,200,0
7489,0,110,110,200,200,0
7552,0,111,111,200,200,0
7615,0,114,114,201.667,200,0
7679,0,117,117,206.667,200,0
7740,0,119,119,210,200,0
7801,0,121,121,213.333,200,0
7862,0,124,124,218.333,200,0
7923,0,126,126,221.667,200,0
7985,0,128,128,221.667,200,0
8047,0,130,130,221.667,200,0
8110,0,132,132,221.667,200,0
8173,0,134,134,221.667,200,0
8236,0,137,137,221.667,200,0
8298,0,139,139,221.667,200,0
8361,0,141,141,221.667,200,0
8422,0,143,143,221.667,200,0
8485,0,145,145,221.667,200,0
8578,0,148,148,226.667,200,0
8640,0,151,151,230,200,0
8703,0,153,153,230,200,0
8765,0,155,155,230,200,0
8827,0,158,158,230,200,0
8888,0,160,160,230,200,0
8951,0,163,163,230,200,0
9013,0,166,166,230,200,0
9076,0,169,169,230,200,0
9137,0,172,172,230,200,0
9201,0,175,175,230,200,0
9262,0,179,179,230,200,0
9324,0,182,182,230,200,0
9385,0,186,186,230,200,0
9448,0,189,189,230,200,0
9509,0,193,193,230,200,0
9570,0,196,196,230,200,0
9634,0,199,199,230,200,0
9696,0,200,200,230,200,0
9758,0,202,202,230,200,0
9822,0,205,205,230,200,0
9882,0,206,206,230,200,0
9943,0,207,207,230,200,0
10005,0,210,210,230,200,0
10066,0,212,212,230,200,0
10128,0,214,214,230,200,0
10191,0,218,218,230,200,0
10276,0,221,221,230,200,0
10328,0,222,222,230,200,0
10391,0,225,225,230,200,0
10454,0,227,227,230,200,0
10515,0,229,229,230,200,0
10575,0,231,231,230,200,0
